k,cv_silhouette_mean,cv_silhouette_std,valid_folds
2,0.34194869240080544,0.011886549511512811,5
3,0.1726933528836457,0.0049751297273014,5
4,0.09430137932395577,0.008502802075440812,5
5,0.10453746338650272,0.005989421809418964,5
6,0.11080030735636667,0.0033103968973964603,5
7,0.11017809491445718,0.00391634494333168,5
8,0.11767461350787374,0.004544874688300202,5
