metric,mean,std,modelo
accuracy,0.666294280759795,0.008926070695509455,kNN
f1_macro,0.5431753340656527,0.013066741370884701,kNN
accuracy,0.7471104132204988,0.016745649451230905,logistica_ovr
f1_macro,0.6361367146130078,0.01644627415976807,logistica_ovr
