configuracion,accuracy,f1_macro,recall_matriculado
desconocido_nan + moda,0.7496531856575487,0.6384552410085997,0.21102362204724406
desconocido_categoria + missing_explicito,0.7471104132204988,0.6361367146130078,0.21102362204724406
desconocido_nan + missing_explicito,0.7471104132204988,0.6361367146130078,0.21102362204724406
desconocido_categoria + moda,0.7468275277890986,0.6358876031409143,0.21102362204724406
